類別,分類
拉麵店,日式
中式麵食店,中式
麵店,台灣小吃/熱炒店
烏冬專門店,日式
熟食店,台灣小吃/熱炒店
什錦麵館,中式
台灣餐廳,台灣小吃/熱炒店
中菜館,中式
正宗日式料理餐廳,日式
冷麵店,日式
中餐館,中式
日本餐廳,日式
餃子店,中式
素食餐廳,素食
小食/零食吧,台灣小吃/熱炒店
純素餐廳,素食
火鍋餐廳,火鍋
小吃店,台灣小吃/熱炒店
早午餐餐廳,早午餐
涮涮鍋餐廳,火鍋
四川酒家,中式
早餐餐廳,早午餐
咖啡廳,咖啡甜點
茶藝館,咖啡甜點
海鮮餐廳,台灣小吃/熱炒店
居酒屋,日式
輕食餐廳,台灣小吃/熱炒店
燒烤,燒烤店
歐陸餐廳,異國料理
西班牙餐廳,異國料理
西餐廳,異國料理
新加坡餐廳,南洋
日本地方料理餐廳,日式
壽司店,日式
日式炸豬扒餐廳,日式
粵菜館,中式
港式茶餐廳,港式
雞肉餐廳,台灣小吃/熱炒店
馬來西亞餐廳,南洋
加州餐廳,美式
酒吧,酒吧/餐酒館
現代居酒屋,酒吧/餐酒館
鐵板燒餐廳,台灣小吃/熱炒店
地中海餐廳,異國料理
雞尾酒酒吧,酒吧/餐酒館
薄餅餐廳,異國料理
啤酒館,酒吧/餐酒館
歐洲餐廳,異國料理
甜品餐廳,咖啡甜點
滬菜館,中式
家常菜餐廳,台灣小吃/熱炒店
法式糕餅店,咖啡甜點
法國餐廳,異國料理
德國餐廳,異國料理
燒烤餐廳,燒烤店
海鮮丼餐廳,日式
法式餐廳,異國料理
蕎麥麵店,日式
牛丼餐廳,日式
迴轉壽司餐廳,日式
日式烤雞串餐廳,日式
法式牛扒餐廳,異國料理
意大利麵食店,意式
現代法國餐廳,異國料理
雪糕店,咖啡甜點
傳統美式餐廳,美式
高級餐廳,異國料理
柬埔寨餐廳,南洋
現場音樂酒吧,酒吧/餐酒館
美式墨西哥菜餐廳,美式
比利時餐廳,異國料理
糖果店,咖啡甜點
朱古力店,咖啡甜點
中菜,中式
韓式牛肉料理餐廳,韓式
日式串燒餐廳,燒烤店
日式牛扒餐廳,日式
墨西哥餐廳,異國料理
中東餐廳,異國料理
餡餅店,中式
煎餅料理餐廳,中式
壽喜燒餐廳,日式
摩洛哥餐廳,異國料理
義大利薩丁尼亞風味餐廳,意式
保加利亞餐廳,異國料理
豆腐餐廳,韓式
酒廠酒吧,酒吧/餐酒館
西班牙小食酒吧,酒吧/餐酒館
運動酒吧,酒吧/餐酒館
湯品餐廳,台灣小吃/熱炒店
藏式餐廳,異國料理
韓國血腸餐廳,韓式
御好燒餐廳,日式
湯羹餐廳,中式
西班牙小食餐廳,酒吧/餐酒館
餐廳或咖啡店,咖啡甜點
捷克餐廳,異國料理
新派拉丁餐廳,異國料理
北意大利餐廳,意式
文字燒餐廳,日式
鰻魚料理餐廳,日式
羊肉燒烤餐廳,燒烤店
長壽飲食餐廳,台灣小吃/熱炒店
章魚燒餐廳,日式
螃蟹餐廳,台灣小吃/熱炒店
蘇菜/江蘇菜館,中式
日式牛舌餐廳,日式
鲁菜/山東菜館,台灣小吃/熱炒店
英式高級酒吧,酒吧/餐酒館
飛鏢酒吧,酒吧/餐酒館
巧克力咖啡館,咖啡甜點
夏威夷餐廳,異國料理
水煙壺吧,酒吧
夏威夷蓋飯專賣店,異國料理
葡萄牙餐廳,異國料理
新奧爾良餐廳,異國料理
科夫塔肉丸餐廳,異國料理
鋼琴酒吧,酒吧/餐酒館
天婦羅餐廳,日式
京都風味日式餐廳,日式
辣妹酒吧,酒吧/餐酒館
秘魯餐廳,異國料理
角色扮演咖啡廳,咖啡甜點
天婦羅丼餐廳,日式
盒餐餐廳,台灣小吃/熱炒店
義大利皮埃蒙特風味餐廳,異國料理
日式炒麵餐廳,日式
蒸氣船餐廳,火鍋
南部菜餐廳 (美國),台灣小吃/熱炒店
鮑魚餐廳,日式
鱉料理餐廳,中式
酒吧雅座,酒吧/餐酒館
和菓子餐廳,咖啡甜點
菲律賓餐廳,異國料理
蒙古烤肉餐廳,燒烤店
俄國餐廳,異國料理
魚和海鮮餐廳,台灣小吃/熱炒店
浙菜/浙江菜館,中式
串燒烤肉店,燒烤店
法式薄餅餐廳,咖啡甜點
農家菜館,台灣小吃/熱炒店
亞洲  Fusion 菜餐廳,台灣小吃/熱炒店
希臘餐廳,異國料理
現代歐洲餐廳,異國料理
土耳其餐廳,異國料理
高級法國餐廳,異國料理
沙威瑪餐廳,異國料理
魚料理餐廳,台灣小吃/熱炒店
拉丁美洲餐廳,異國料理
阿根廷餐廳,異國料理
懷石料理餐廳,日式
狗兒咖啡館,咖啡甜點
中式茶館,咖啡甜點
班戟店,咖啡甜點
融合菜式餐廳,台灣小吃/熱炒店
壽喜燒和日式火鍋餐廳,火鍋
現代美式餐廳,異國料理
澳洲餐廳,異國料理
曲奇餅店,咖啡甜點
葡萄酒吧,酒吧/餐酒館
英式餐廳,異國料理
京菜/北京菜館,中式
英國餐廳,異國料理
日式糖果店,咖啡甜點
加勒比海餐廳,異國料理
日式西餐廳,日式
有機餐廳,台灣小吃/熱炒店
和?子餐廳,咖啡甜點
關東煮餐廳,日式
咖啡店,咖啡甜點
多國菜餐廳,異國料理
日本熟食店,日式
客家菜館,台灣小吃/熱炒店
美式牛扒屋,美式
泰國餐廳,南洋
甜品店,咖啡甜點
意大利餐廳,意式
越南餐廳,南洋
漢堡餐廳,美式
美式餐廳,美式
美式扒房,美式
韓國餐廳,韓式
韓式燒烤餐廳,韓式
酒吧扒房,燒烤店
湘菜館,中式
印度餐廳,異國料理
現代印度餐廳,異國料理
巴基斯坦餐廳,異國料理
緬甸餐廳,南洋
印度香飯餐廳,異國料理
日式燒肉餐廳,日式
日式咖哩餐廳,日式
亞洲菜餐廳,異國料理
清真餐廳,異國料理
粥餐廳,中式
東南亞餐廳,南洋
印尼餐廳,南洋
越式河粉餐廳,南洋
擔擔麵專門店,中式
酒樓,港式